"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"247","Display Name / Label","","partial","Display Label","src/components/prices/PriceSettingsModal.tsx:759"
"248","DOA (Dead On Arrival) / No power","","partial","Dead On Arrival power","src/components/inventory/InventoryManagementModule.tsx:2187"
"249","Done / Mo","","partial","Mo","src/components/settings/SystemManagementSettingsModule.tsx:1966"
"250","Dual Cut Voucher (Cust + Shop Copy)","","partial","Dual Cut Cust Shop","src/components/settings/SystemManagementSettingsModule.tsx:2941"
"251","e.g. 820-02020 or iPhone 13 Pro Logic Board","","partial","e g or i Pro Logic Board","src/components/microsoldering/MicroSolderingModule.tsx:171"
"252","e.g. All functions tested pass. TrueTone transferred, battery charging test pass.","","partial","e g functions tested pass TrueTone transferred battery charging test","src/components/pipeline/StatusPipelineView.tsx:1290"
"253","e.g. iPhone 15 Pro Max","","partial","e g i Pro Max","src/components/devices/DevicesManagementModule.tsx:700"
"254","e.g. iPhone 16 Pro, iPad Air 6","","partial","e g i Pro Air","src/components/prices/PriceSettingsModal.tsx:635"
"255","e.g. Jul 22, 2026 5:57 PM - No Power fixed. Speaker still not working.","","partial","e g Jul Power fixed Speaker still not working","src/components/pipeline/StatusPipelineView.tsx:1065"
"256","e.g. Mg Mg / Daw Hla (Full Name)","","partial","e g Mg Daw Hla Full","src/components/intake/CreateTicketSoloPage.tsx:696"
"257","e.g. Official ACMT Certified Service Voucher","","partial","e g icial Certified Service","src/components/settings/SystemManagementSettingsModule.tsx:2798"
"258","e.g. Partial settlement via KBZPay","","partial","e g ial settlement via KBZPay","src/components/finance/ShopFinancePlModule.tsx:1128"
"259","e.g. Scan QR at counter","","partial","e g at counter","src/components/settings/SystemManagementSettingsModule.tsx:2349"
"260","e.g. Thank you for choosing AppleRepair! All repairs covered by warranty under standard terms.","","partial","e g Thank you for choosing AppleRepair repairs covered by warranty under standard terms","src/components/settings/SystemManagementSettingsModule.tsx:2813"
"261","Edit Component:","","partial","Component","src/components/inventory/InventoryManagementModule.tsx:1911"
"262","Edit Shop Profile","","partial","Shop Profile","src/components/settings/SystemManagementSettingsModule.tsx:2715"
"263","Edit Supplier Vendor Profile","","partial","Profile","src/components/suppliers/SupplierRmaModule.tsx:595"
"264","Edit ticket","","partial","ticket","src/components/common/TicketDetailInspectorModal.tsx:159; src/components/common/TicketDetailInspectorModal.tsx:160"
"265","Empty Recycle Bin?","","partial","Empty","src/components/common/RecycleBinModal.tsx:233"
"266","Enable All","","partial","Enable","src/components/settings/SystemManagementSettingsModule.tsx:2169"
"267","Enable one in Settings → Payment Methods to accept payment.","","partial","Enable one in s to accept payment","src/components/pos/PosInvoicingModule.tsx:807"
"268","End Date","","partial","End","src/components/common/DateFilterSelector.tsx:396"
"269","Enter to send · Shift + Enter for a new line · Confirm critical decisions before acting.","","partial","Enter to send Shift for a new line critical decisions before acting","src/components/ai/AiDiagnosticAssistantModal.tsx:538"
"270","Enter your phone number, email, or Work Order # (e.g. WO-2026-1001) to view real-time repair progress, inspect diagnostic logs, and approve estimates.","","partial","Enter your phone number email or e g to view real time repair progress inspect diagnostic logs and approve estimates","src/components/portal/CustomerFacingWebPortal.tsx:256"
"271","ERP AI Assistant & API Provider","","partial","Provider","src/components/settings/SystemManagementSettingsModule.tsx:906"
"272","Estimate Approved & Authorized","","partial","Approved Authorized","src/components/portal/CustomerFacingWebPortal.tsx:827"
"273","Estimated Completion","","partial","d Completion","src/components/portal/CustomerFacingWebPortal.tsx:443"
"274","Estimated Total Charge:","","partial","d Charge","src/components/common/DeviceTagPrinterModal.tsx:340"
"275","Expand sidebar","","partial","Sidebar","src/components/Navigation.tsx:269; src/components/Navigation.tsx:270"
"276","Expense Records","","partial","Records","src/components/finance/ShopFinancePlModule.tsx:452"
"277","File Parts Warranty Claim (RMA)","","partial","File Warranty Claim","src/components/inventory/InventoryManagementModule.tsx:2108"
"278","Filtering Bottlenecks (&gt;48h)","","partial","ing Bottlenecks gt h","src/components/pipeline/StatusPipelineView.tsx:457"
"279","Final Estimate","","partial","Final","src/components/intake/CreateTicketSoloPage.tsx:1057"
"280","Financial Revenue Intelligence","","partial","Financial Intelligence","src/components/dashboard/DashboardOverview.tsx:1670"
"281","Find My OFF (Clear)","","partial","Find My","src/components/devices/DevicesManagementModule.tsx:372"
"282","Find My ON","","partial","Find My","src/components/devices/DevicesManagementModule.tsx:331; src/components/devices/DevicesManagementModule.tsx:469"
"283","Find My ON (Active Lock)","","partial","Find My Active Lock","src/components/devices/DevicesManagementModule.tsx:373"
"284","Find My Status","","partial","Find My","src/components/devices/DevicesManagementModule.tsx:578"
"285","Finished (QA Passed / Ready)","","partial","Passed Ready","src/components/common/WorkOrderStatusTimeline.tsx:426"
"286","Finished & Picked Up","","partial","Picked Up","src/components/followup/CompletedDeviceFollowUpModule.tsx:284"
"287","Finished Device Diagnostic Alert","","partial","Diagnostic Alert","src/components/pipeline/StatusPipelineView.tsx:1425"
"288","Finished Device Diagnostic Alert:","","partial","Diagnostic Alert","src/components/common/WorkOrderStatusTimeline.tsx:451"
"289","Finished Device Protocol Notice:","","partial","Protocol tice","src/components/pipeline/StatusPipelineView.tsx:1442"
"290","Finished Needs Diag","","partial","Needs Diag","src/components/devices/DevicesManagementModule.tsx:303"
"291","Finished Needs Diag (","","partial","Needs Diag","src/components/pipeline/StatusPipelineView.tsx:451"
"292","Finished tickets are auto-classified as Spareparts Change or Hardware Repair. Re-scan applies AI to every finished ticket without a verdict (including previously failed ones).","","partial","tickets are auto classified as Spareparts or Hardware Repair Re scan applies to every finished ticket without a verdict including previously failed ones","src/components/settings/SystemManagementSettingsModule.tsx:1020"
"293","Flag Defective Component for Vendor RMA","","partial","Flag Defective Component for","src/components/suppliers/SupplierRmaModule.tsx:421"
"294","Flat Price Change (","","partial","Flat","src/components/prices/PriceSettingsModal.tsx:1108"
"295","Folders (","","partial","s","src/components/prices/PriceSettingsModal.tsx:476"
"296","Follow-up Closed","","partial","Follow up d","src/components/followup/CompletedDeviceFollowUpModule.tsx:222"
"297","Follow-Up History Log","","partial","History Log","src/components/followup/CompletedDeviceFollowUpModule.tsx:795"
"298","Follow-Up Outcome Status","","partial","Outcome","src/components/followup/CompletedDeviceFollowUpModule.tsx:659"
"299","For stock parts only. Price List repair services stay separate.","","partial","For stock parts only repair services stay separate","src/components/settings/SystemManagementSettingsModule.tsx:2394"
"300","Full Invoice","","partial","Full","src/components/pos/PosInvoicingModule.tsx:1378"
"301","Full Name","","partial","Full","src/components/settings/SystemManagementSettingsModule.tsx:3575"
"302","Full Repair History Modal","","partial","Full Modal","src/components/crm/CrmCustomerPortalModule.tsx:366"
"303","Full Technician Leaderboard Roster","","partial","Full Leaderboard Roster","src/components/dashboard/TechnicianLeaderboardView.tsx:70"
"304","Gateway / Bank Name","","partial","Gateway Bank","src/components/settings/SystemManagementSettingsModule.tsx:2311"
"305","Global Bulk Price Markup & Adjustment Tool","","partial","Global Bulk Markup Adjustment Tool","src/components/prices/PriceSettingsModal.tsx:1057"
"306","Global Currency & Pricing Matrix Settings","","partial","Global Pricing","src/components/settings/SystemManagementSettingsModule.tsx:2066"
"307","Global Display Label (Name)","","partial","Global Display Label","src/components/prices/PriceSettingsModal.tsx:799"
"308","Global Low Stock Warning Threshold","","partial","Global Threshold","src/components/settings/SystemManagementSettingsModule.tsx:2577"
"309","Global Markup & Currency","","partial","Global Markup","src/components/prices/PriceSettingsModal.tsx:489"
"310","Global Payment Gateways & Myanmar Banking Settings","","partial","Global Payment Gateways Myanmar Banking","src/components/settings/SystemManagementSettingsModule.tsx:2155"
"311","Global Repair Service Category Customizer","","partial","Global Repair Service Customizer","src/components/prices/PriceSettingsModal.tsx:738"
"312","Grand Total","","partial","Grand","src/components/prices/QuickPriceCalculatorModal.tsx:610"
"313","Gross Profit - OpEx","","partial","OpEx","src/components/finance/ShopFinancePlModule.tsx:472"
"314","Gross Revenue","","partial","Gross","src/components/finance/ShopFinancePlModule.tsx:393"
"315","Ground Stock Checking Sheet","","partial","Ground Checking Sheet","src/components/inventory/InventoryManagementModule.tsx:2680"
"316","Hardware Info","","partial","Hardware","src/components/pipeline/StatusPipelineView.tsx:823"
"317","i35 Apple Service — Ground Stock Checking","","partial","i Service Ground Checking","src/components/inventory/InventoryManagementModule.tsx:2703"
"318","i35 Apple Service — Spare Parts Tags","","partial","i Service Spare Tags","src/components/inventory/InventoryManagementModule.tsx:2929"
"319","i35 Apple Service · No 1031, Pyi Htaung Su Main Rd, North Dagon, Yangon","","partial","i Service Pyi Htaung Su Main Rd rth Dagon Yangon","src/components/inventory/InventoryManagementModule.tsx:2764"
"320","Import a Price List CSV exported from this ERP","","partial","a exported from this","src/components/prices/PriceSettingsModal.tsx:505"
"321","In Progress (Active Repair)","","partial","Active Repair","src/components/common/WorkOrderStatusTimeline.tsx:424"
"322","In Progress / Received","","partial","d","src/components/dashboard/DashboardOverview.tsx:693"
"323","In Stock Qty","","partial","Qty","src/components/finance/ShopFinancePlModule.tsx:765"
"324","Include 21-Point Diagnostics","","partial","Include Point","src/components/settings/SystemManagementSettingsModule.tsx:2979"
"325","Include Service & Price Matrix","","partial","Include Service","src/components/settings/SystemManagementSettingsModule.tsx:2992"
"326","Initial 21-Point Diagnostic Pending","","partial","Initial Point Diagnostic","src/components/pipeline/StatusPipelineView.tsx:591"
"327","Initial Diag Pending","","partial","Initial Diag","src/components/devices/DevicesManagementModule.tsx:287"
"328","Initial Stock Qty","","partial","Initial Qty","src/components/inventory/InventoryManagementModule.tsx:1750"
"329","Intake Baseline Timestamp","","partial","Intake Baseline stamp","src/components/common/WorkOrderStatusTimeline.tsx:662"
"330","Intake Date","","partial","Intake","src/components/intake/IntakeWorkOrderModule.tsx:734"
